Date,Open,High,Low,Close,Volume
2019-12-24,2470.51,2535.54,2432.83,2470.3,42715549696
2019-12-23,2532.05,2580.59,2448.27,2470.28,50523922432
2019-12-22,2446.14,2546.46,2426.04,2532.85,44119613440
2019-12-21,2464.74,2489.21,2405.06,2445.56,37200461824
2019-12-20,2431.73,2497.65,2387.35,2464.03,42763091968
2019-12-19,2466.84,2498.3,2358.23,2430.8,48606638080
2019-12-18,2272.73,2500.73,2222.75,2467.26,60229603328
2019-12-17,2445.45,2465.1,2240.35,2272.22,45154467840
2019-12-16,2568.47,2584.68,2424.76,2445.56,41521516544
2019-12-15,2557.76,2593.3,2480.37,2568.22,34553331712
2019-12-14,2601.38,2633.23,2530.33,2556.72,34392190976
2019-12-13,2590.69,2629.16,2560.36,2601.47,35178016768
2019-12-12,2571.99,2613.27,2531.51,2590.4,38064009216
2019-12-11,2585.95,2620.65,2546.03,2571.3,33415360512
2019-12-10,2627.01,2642.31,2549.64,2586.68,34950512640
2019-12-09,2682.26,2705.31,2603.32,2627.4,34819280896
2019-12-08,2658.14,2712.76,2630.14,2682.84,30904539136
2019-12-07,2651.59,2691.88,2632.9,2658.68,30704900096
2019-12-06,2622.58,2672.34,2589.06,2651.39,34592292864
2019-12-05,2556.86,2708.99,2529.46,2620.77,36541370368
2019-12-04,2597.68,2656.71,2517.92,2557.94,41538625536
2019-12-03,2607.55,2653.23,2555.23,2598.65,30751584256
2019-12-02,2648.6,2683.36,2566.38,2607.62,34624811008
2019-12-01,2683.44,2710.94,2577.59,2648.5,37169451008
2019-11-30,2550.63,2583.96,2459.44,2491.09,34679746560
2019-11-29,2651.47,2767.44,2643.38,2745.14,39592943616
2019-11-28,2670.17,2747.27,2629,2650.36,37707120640
2019-11-27,2593.76,2712.2,2496.09,2669.12,47270973440
2019-11-26,2547.32,2635.79,2523.79,2598.35,41007087616
2019-11-25,2512.78,2633.39,2358.82,2548.6,78617321472
2019-11-24,2687.78,2701.16,2506.61,2513.83,53635620864
2019-11-23,2599.45,2705.94,2541.79,2686.91,43257950208
2019-11-22,2752.57,2788.36,2451.56,2599.44,65037037568
2019-11-21,2921.74,2949.26,2709.43,2752.21,45727830016
2019-11-20,2980.78,3016.18,2901.95,2922.59,40734502912
2019-11-19,3042.65,3085.47,2912.43,2981.54,42646962176
2019-11-18,3159.3,3192,2999.55,3042.96,43140366336
2019-11-17,3145.61,3216.09,3110.23,3159.82,37911318528
2019-11-16,3118.18,3174.6,3093.96,3145.5,34467725312
2019-11-15,3208.67,3239.09,3083,3117.54,44233752576
